,Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tasiilaq,65.61,-37.64,276.15,93,97,4.1,GL,1595550546
1,Ōmachi,36.5,137.87,295.93,83,75,5.7,JP,1595550547
2,Kapaa,22.08,-159.32,303.15,70,40,5.1,US,1595550326
3,Souillac,-20.52,57.52,293.15,60,40,6.7,MU,1595550443
4,Busselton,-33.65,115.33,279.26,80,3,2.84,AU,1595550547
5,Upernavik,72.79,-56.15,280.89,77,69,4.81,GL,1595550444
6,Thompson,55.74,-97.86,302.15,54,40,4.6,CA,1595550548
7,Atuona,-9.8,-139.03,299.56,75,4,7.68,PF,1595550549
8,Shawnee,39.05,-95.77,305.15,59,1,2.1,US,1595550549
9,Arlit,18.74,7.39,307.18,35,43,5.5,NE,1595550549
10,Mataura,-46.19,168.86,277.04,83,83,1.34,NZ,1595550184
11,Ilulissat,69.22,-51.1,285.15,66,100,1.5,GL,1595550549
12,Ushuaia,-54.8,-68.3,277.15,85,40,5.1,AR,1595550145
13,Lundazi,-12.29,33.18,285.27,76,0,4.04,ZM,1595550550
14,Deputatsky,69.3,139.9,299.08,34,65,1.28,RU,1595550550
15,Calabozo,8.92,-67.43,297.98,87,23,1.75,VE,1595550551
16,Tiarei,-17.53,-149.33,297.15,83,75,4.1,PF,1595550551
17,Laramie,41.31,-105.59,299.15,22,1,2.6,US,1595550552
18,Ust-Tsilma,65.44,52.15,289.68,79,81,2.44,RU,1595550552
19,Hermanus,-34.42,19.23,285.93,81,0,0.45,ZA,1595550552
20,Nome,64.5,-165.41,282.15,87,90,4.6,US,1595550553
21,Głogów,51.66,16.08,288.15,82,8,1.78,PL,1595550553
22,Nikolayevsk-on-Amur,53.14,140.73,290.99,51,41,1.68,RU,1595550553
23,Vestmannaeyjar,63.44,-20.27,283.15,93,90,4.1,IS,1595550553
24,Sorong,-0.88,131.25,299.72,84,37,3.12,ID,1595550554
25,Doha,25.29,51.53,307.15,66,0,2.1,QA,1595550554
26,Jamestown,42.1,-79.24,297.59,83,90,3.1,US,1595550554
27,Cherskiy,68.75,161.3,294.49,57,9,4.67,RU,1595550523
